msx-conf get 
msx-conf get bind.address
msx-conf getBoolean dfs.block.access.token.enable
msx-conf getBoolean dfs.client.block.write.replace-datanode-on-failure.best-effort
msx-conf getBoolean dfs.client.block.write.replace-datanode-on-failure.enable
msx-conf getBoolean dfs.client.domain.socket.data.traffic
msx-conf getBoolean dfs.client.mmap.enabled
msx-conf getBoolean dfs.client.read.shortcircuit
msx-conf getBoolean dfs.client.read.shortcircuit.skip.checksum
msx-conf getBoolean dfs.client.retry.policy.enabled
msx-conf getBoolean dfs.client.use.datanode.hostname
msx-conf getBoolean dfs.client.use.legacy.blockreader
msx-conf getBoolean dfs.client.use.legacy.blockreader.local
msx-conf getBoolean dfs.client.write.byte-array-manager.enabled
msx-conf getBoolean dfs.datanode.block-pinning.enabled
msx-conf getBoolean dfs.datanode.drop.cache.behind.reads
msx-conf getBoolean dfs.datanode.drop.cache.behind.writes
msx-conf getBoolean dfs.datanode.duplicate.replica.deletion
msx-conf getBoolean dfs.datanode.hdfs-blocks-metadata.enabled
msx-conf getBoolean dfs.datanode.non.local.lazy.persist
msx-conf getBoolean dfs.datanode.sync.behind.writes
msx-conf getBoolean dfs.datanode.sync.behind.writes.in.background
msx-conf getBoolean dfs.datanode.synconclose
msx-conf getBoolean dfs.datanode.transferTo.allowed
msx-conf getBoolean dfs.datanode.use.datanode.hostname
msx-conf getBoolean dfs.data.transfer.client.tcpnodelay
msx-conf getBoolean dfs.encrypt.data.transfer
msx-conf getBoolean dfs.ha.allow.stale.reads
msx-conf getBoolean dfs.ha.standby.checkpoints
msx-conf getBoolean dfs.image.compress
msx-conf getBoolean dfs.namenode.acls.enabled
msx-conf getBoolean dfs.namenode.audit.log.async
msx-conf getBoolean dfs.namenode.audit.log.token.tracking.id
msx-conf getBoolean dfs.namenode.avoid.read.stale.datanode
msx-conf getBoolean dfs.namenode.avoid.write.stale.datanode
msx-conf getBoolean dfs.namenode.block-placement-policy.default.prefer-local-node
msx-conf getBoolean dfs.namenode.datanode.registration.ip-hostname-check
msx-conf getBoolean dfs.namenode.delegation.token.always-use
msx-conf getBoolean dfs.namenode.edits.asynclogging
msx-conf getBoolean dfs.namenode.edits.noeditlogchannelflush
msx-conf getBoolean dfs.namenode.enable.retrycache
msx-conf getBoolean dfs.namenode.fslock.fair
msx-conf getBoolean dfs.namenode.lock.detailed-metrics.enabled
msx-conf getBoolean dfs.namenode.name.dir.restore
msx-conf getBoolean dfs.namenode.reject-unresolved-dn-topology-mapping
msx-conf getBoolean dfs.namenode.replication.considerLoad
msx-conf getBoolean dfs.namenode.support.allow.format
msx-conf getBoolean dfs.namenode.top.enabled
msx-conf getBoolean dfs.namenode.xattrs.enabled
msx-conf getBoolean dfs.permissions.enabled
msx-conf getBoolean dfs.pipeline.ecn
msx-conf getBoolean dfs.quota.by.storage.type.enabled
msx-conf getBoolean dfs.reformat.disabled
msx-conf getBoolean dfs.storage.policy.enabled
msx-conf getBoolean dfs.support.append
msx-conf getBoolean dfs.webhdfs.enabled
msx-conf getBoolean dfs.webhdfs.rest-csrf.enabled
msx-conf getBoolean dfs.xframe.enabled
msx-conf getBoolean fs.automatic.close
msx-conf getBoolean fs.client.resolve.remote.symlinks
msx-conf getBoolean fs.file.impl.disable.cache
msx-conf getBoolean fs.hdfs.impl.disable.cache
msx-conf getBoolean hadoop.caller.context.enabled
msx-conf getBoolean hadoop.jetty.logs.serve.aliases
msx-conf getBoolean hadoop.security.authorization
msx-conf getBoolean hadoop.security.dns.log-slow-lookups.enabled
msx-conf getBoolean hadoop.security.groups.cache.background.reload
msx-conf getBoolean hadoop.security.token.service.use_ip
msx-conf getBoolean hbase.balancer.tablesOnMaster
msx-conf getBoolean hbase.balancer.tablesOnMaster.systemTablesOnly
msx-conf getBoolean hbase.blockcache.use.external
msx-conf getBoolean hbase.block.data.cachecompressed
msx-conf getBoolean hbase.block.data.cacheonread
msx-conf getBoolean hbase.bucketcache.combinedcache.enabled
msx-conf getBoolean hbase.client.backpressure.enabled
msx-conf getBoolean hbase.client.fast.fail.mode.enabled
msx-conf getBoolean hbase.client.log.batcherrors.details
msx-conf getBoolean hbase.client.log.scanner.activity
msx-conf getBoolean hbase.client.metrics.enable
msx-conf getBoolean hbase.client.nonces.enabled
msx-conf getBoolean hbase.client.scanner.async.prefetch
msx-conf getBoolean hbase.client.zookeeper.observer.mode
msx-conf getBoolean hbase.cluster.distributed
msx-conf getBoolean hbase.coprocessor.enabled
msx-conf getBoolean hbase.coprocessor.user.enabled
msx-conf getBoolean hbase.data.umask.enable
msx-conf getBoolean hbase.defaults.for.version.skip
msx-conf getBoolean hbase.filesystem.reorder.blocks
msx-conf getBoolean hbase.group.service.for.test.only
msx-conf getBoolean hbase.hfile.drop.behind.compaction
msx-conf getBoolean hbase.hlog.split.skip.errors
msx-conf getBoolean hbase.hregion.memstore.mslab.enabled
msx-conf getBoolean hbase.hregion.scan.loadColumnFamiliesOnDemand
msx-conf getBoolean hbase.hstore.bulkload.verify
msx-conf getBoolean hbase.hstore.compaction.date.tiered.single.output.for.minor.compaction
msx-conf getBoolean hbase.ipc.client.fallback-to-simple-auth-allowed
msx-conf getBoolean hbase.ipc.client.tcpkeepalive
msx-conf getBoolean hbase.ipc.client.tcpnodelay
msx-conf getBoolean hbase.ipc.server.fallback-to-simple-auth-allowed
msx-conf getBoolean hbase.ipc.server.reservoir.enabled
msx-conf getBoolean hbase.ipc.server.tcpkeepalive
msx-conf getBoolean hbase.ipc.server.tcpnodelay
msx-conf getBoolean hbase.localcluster.assign.random.ports
msx-conf getBoolean hbase.lru.rs.inmemoryforcemode
msx-conf getBoolean hbase.master.backup
msx-conf getBoolean hbase.master.balancer.stochastic.runMaxSteps
msx-conf getBoolean hbase.master.balancer.uselocality
msx-conf getBoolean hbase.master.infoserver.redirect
msx-conf getBoolean hbase.master.initializationmonitor.haltontimeout
msx-conf getBoolean hbase.masterless
msx-conf getBoolean hbase.master.loadbalance.bytable
msx-conf getBoolean hbase.master.maintenance_mode
msx-conf getBoolean hbase.master.preload.tabledescriptors
msx-conf getBoolean hbase.meta.replicas.use
msx-conf getBoolean hbase.migrate.table.state.from.zookeeper
msx-conf getBoolean hbase.mirror.table.state.to.zookeeper
msx-conf getBoolean hbase.netty.nativetransport
msx-conf getBoolean hbase.procedure.abort.on.corruption
msx-conf getBoolean hbase.procedure.check.owner.set
msx-conf getBoolean hbase.procedure.store.wal.use.hsync
msx-conf getBoolean hbase.quota.enabled
msx-conf getBoolean hbase.region.archive.recovered.edits
msx-conf getBoolean hbase.region.replica.wait.for.primary.flush
msx-conf getBoolean hbase.regionserver.admin.executorService
msx-conf getBoolean hbase.regionserver.checksum.verify
msx-conf getBoolean hbase.regionserver.client.executorService
msx-conf getBoolean hbase.regionserver.compaction.enabled
msx-conf getBoolean hbase.regionserver.enable.table.latencies
msx-conf getBoolean hbase.regionserver.hlog.enabled
msx-conf getBoolean hbase.regionserver.hostname.disable.master.reversedns
msx-conf getBoolean hbase.regionserver.majorcompaction.pagecache.drop
msx-conf getBoolean hbase.regionserver.minorcompaction.pagecache.drop
msx-conf getBoolean hbase.regionserver.nonces.enabled
msx-conf getBoolean hbase.regionserver.wal.enablecompression
msx-conf getBoolean hbase.regionserver.wal.tags.enablecompression
msx-conf getBoolean hbase.regionserver.workers
msx-conf getBoolean hbase.replication.bulkload.enabled
msx-conf getBoolean hbase.resolve.hostnames.on.failure
msx-conf getBoolean hbase.rpc.crypto.encryption.aes.enabled
msx-conf getBoolean hbase.rs.cacheblocksonwrite
msx-conf getBoolean hbase.rs.evictblocksonclose
msx-conf getBoolean hbase.rs.prefetchblocksonopen
msx-conf getBoolean hbase.security.authorization
msx-conf getBoolean hbase.separate.oldlogdir.by.regionserver
msx-conf getBoolean hbase.skip.load.duplicate.table.coprocessor
msx-conf getBoolean hbase.snapshot.enabled
msx-conf getBoolean hbase.split.wal.zk.coordinated
msx-conf getBoolean hbase.split.writer.creation.bounded
msx-conf getBoolean hbase.status.published
msx-conf getBoolean hbase.store.delete.expired.storefile
msx-conf getBoolean hbase.store.reader.no-readahead
msx-conf getBoolean hbase.storescanner.parallel.seek.enable
msx-conf getBoolean hbase.storescanner.use.pread
msx-conf getBoolean hbase.testing.nocluster
msx-conf getBoolean hbase.tests.use.shortcircuit.reads
msx-conf getBoolean hbase.unsafe.stream.capability.enforce
msx-conf getBoolean hbase.wal.hsync
msx-conf getBoolean hbase.write.hbck1.lock.file
msx-conf getBoolean hfile.block.bloom.cacheonwrite
msx-conf getBoolean hfile.block.index.cacheonwrite
msx-conf getBoolean ignore.secure.ports.for.testing
msx-conf getBoolean io.storefile.bloom.enabled
msx-conf getBoolean io.storefile.delete.family.bloom.enabled
msx-conf getBoolean ipc.0.backoff.enable
msx-conf getBoolean ipc.client.fallback-to-simple-auth-allowed
msx-conf getBoolean ipc.client.low-latency
msx-conf getBoolean ipc.client.ping
msx-conf getBoolean ipc.client.tcpnodelay
msx-conf getBoolean ipc.server.log.slow.rpc
msx-conf getBoolean ipc.server.tcpnodelay
msx-conf getClassByName filesystem
msx-conf getClassByName org.apache.hadoop.hbase.client.ClusterStatusListener$MulticastListener
msx-conf getClassByName org.apache.hadoop.hbase.master.balancer.StochasticLoadBalancer
msx-conf getClassByName org.apache.hadoop.hbase.master.ClusterStatusPublisher$MulticastPublisher
msx-conf getClassByName org.apache.hadoop.hbase.master.normalizer.SimpleRegionNormalizer
msx-conf getClassByName org.apache.hadoop.hbase.regionserver.wal.ProtobufLogReader
msx-conf getClassByName org.apache.hadoop.hbase.regionserver.wal.ProtobufLogWriter
msx-conf getClassByName org.apache.hadoop.hdfs.server.blockmanagement.HostFileManager
msx-conf getClassByName org.apache.hadoop.http.lib.StaticUserWebFilter
msx-conf getClassByName org.apache.hadoop.ipc.ProtobufRpcEngine
msx-conf getClassByName org.apache.hadoop.net.NetworkTopology
msx-conf getClassByName org.apache.hadoop.net.StandardSocketFactory
msx-conf getClassByName org.apache.hadoop.net.StaticMapping
msx-conf getClassByName org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback
msx-conf getClassByNameOrNull filesystem
msx-conf getClassByNameOrNull org.apache.hadoop.hbase.client.ClusterStatusListener$MulticastListener
msx-conf getClassByNameOrNull org.apache.hadoop.hbase.master.balancer.StochasticLoadBalancer
msx-conf getClassByNameOrNull org.apache.hadoop.hbase.master.ClusterStatusPublisher$MulticastPublisher
msx-conf getClassByNameOrNull org.apache.hadoop.hbase.master.normalizer.SimpleRegionNormalizer
msx-conf getClassByNameOrNull org.apache.hadoop.hbase.regionserver.wal.ProtobufLogReader
msx-conf getClassByNameOrNull org.apache.hadoop.hbase.regionserver.wal.ProtobufLogWriter
msx-conf getClassByNameOrNull org.apache.hadoop.hdfs.server.blockmanagement.HostFileManager
msx-conf getClassByNameOrNull org.apache.hadoop.http.lib.StaticUserWebFilter
msx-conf getClassByNameOrNull org.apache.hadoop.ipc.ProtobufRpcEngine
msx-conf getClassByNameOrNull org.apache.hadoop.mapred.JobConf
msx-conf getClassByNameOrNull org.apache.hadoop.mapred.JobConfigurable
msx-conf getClassByNameOrNull org.apache.hadoop.net.NetworkTopology
msx-conf getClassByNameOrNull org.apache.hadoop.net.StandardSocketFactory
msx-conf getClassByNameOrNull org.apache.hadoop.net.StaticMapping
msx-conf getClassByNameOrNull org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback
msx-conf getClass dfs.block.replicator.classname
msx-conf getClass dfs.client.failover.proxy.provider.localhost
msx-conf getClass dfs.datanode.fsdataset.factory
msx-conf getClass dfs.datanode.fsdataset.volume.choosing.policy
msx-conf getClass dfs.datanode.ram.disk.replica.tracker
msx-conf getClass dfs.namenode.hosts.provider.classname
msx-conf getClass dfs.namenode.inode.attributes.provider.class
msx-conf getClass dfs.trustedchannel.resolver.class
msx-conf getClasses dfs.datanode.plugins
msx-conf getClasses dfs.namenode.plugins
msx-conf getClasses hadoop.http.filter.initializers
msx-conf getClass fs.file.impl
msx-conf getClass fs.getspaceused.classname
msx-conf getClass fs.hdfs.impl
msx-conf getClass hadoop.security.group.mapping
msx-conf getClass hadoop.security.impersonation.provider.class
msx-conf getClass hadoop.security.saslproperties.resolver.class
