msx-conf get 
msx-conf get bind.address
msx-conf getBoolean dfs.block.access.token.enable
msx-conf getBoolean dfs.client.block.write.replace-datanode-on-failure.best-effort
msx-conf getBoolean dfs.client.block.write.replace-datanode-on-failure.enable
msx-conf getBoolean dfs.client.domain.socket.data.traffic
msx-conf getBoolean dfs.client.mmap.enabled
msx-conf getBoolean dfs.client.read.shortcircuit
msx-conf getBoolean dfs.client.read.shortcircuit.skip.checksum
msx-conf getBoolean dfs.client.retry.policy.enabled
msx-conf getBoolean dfs.client.use.datanode.hostname
msx-conf getBoolean dfs.client.use.legacy.blockreader
msx-conf getBoolean dfs.client.use.legacy.blockreader.local
msx-conf getBoolean dfs.client.write.byte-array-manager.enabled
msx-conf getBoolean dfs.datanode.block-pinning.enabled
msx-conf getBoolean dfs.datanode.drop.cache.behind.reads
msx-conf getBoolean dfs.datanode.drop.cache.behind.writes
msx-conf getBoolean dfs.datanode.duplicate.replica.deletion
msx-conf getBoolean dfs.datanode.hdfs-blocks-metadata.enabled
msx-conf getBoolean dfs.datanode.non.local.lazy.persist
msx-conf getBoolean dfs.datanode.sync.behind.writes
msx-conf getBoolean dfs.datanode.sync.behind.writes.in.background
msx-conf getBoolean dfs.datanode.synconclose
msx-conf getBoolean dfs.datanode.transferTo.allowed
msx-conf getBoolean dfs.datanode.use.datanode.hostname
msx-conf getBoolean dfs.data.transfer.client.tcpnodelay
msx-conf getBoolean dfs.encrypt.data.transfer
msx-conf getBoolean dfs.ha.allow.stale.reads
msx-conf getBoolean dfs.ha.standby.checkpoints
msx-conf getBoolean dfs.image.compress
msx-conf getBoolean dfs.namenode.acls.enabled
msx-conf getBoolean dfs.namenode.audit.log.async
msx-conf getBoolean dfs.namenode.audit.log.token.tracking.id
msx-conf getBoolean dfs.namenode.avoid.read.stale.datanode
msx-conf getBoolean dfs.namenode.avoid.write.stale.datanode
msx-conf getBoolean dfs.namenode.block-placement-policy.default.prefer-local-node
msx-conf getBoolean dfs.namenode.datanode.registration.ip-hostname-check
msx-conf getBoolean dfs.namenode.delegation.token.always-use
msx-conf getBoolean dfs.namenode.edits.asynclogging
msx-conf getBoolean dfs.namenode.edits.noeditlogchannelflush
msx-conf getBoolean dfs.namenode.enable.retrycache
msx-conf getBoolean dfs.namenode.fslock.fair
msx-conf getBoolean dfs.namenode.lock.detailed-metrics.enabled
msx-conf getBoolean dfs.namenode.name.dir.restore
msx-conf getBoolean dfs.namenode.reject-unresolved-dn-topology-mapping
msx-conf getBoolean dfs.namenode.replication.considerLoad
msx-conf getBoolean dfs.namenode.support.allow.format
msx-conf getBoolean dfs.namenode.top.enabled
msx-conf getBoolean dfs.namenode.xattrs.enabled
msx-conf getBoolean dfs.permissions.enabled
msx-conf getBoolean dfs.pipeline.ecn
msx-conf getBoolean dfs.quota.by.storage.type.enabled
msx-conf getBoolean dfs.reformat.disabled
msx-conf getBoolean dfs.storage.policy.enabled
msx-conf getBoolean dfs.support.append
msx-conf getBoolean dfs.webhdfs.enabled
msx-conf getBoolean dfs.webhdfs.rest-csrf.enabled
msx-conf getBoolean dfs.xframe.enabled
msx-conf getBoolean fs.automatic.close
msx-conf getBoolean fs.client.resolve.remote.symlinks
msx-conf getBoolean fs.file.impl.disable.cache
msx-conf getBoolean fs.hdfs.impl.disable.cache
msx-conf getBoolean hadoop.caller.context.enabled
msx-conf getBoolean hadoop.jetty.logs.serve.aliases
msx-conf getBoolean hadoop.security.authorization
msx-conf getBoolean hadoop.security.dns.log-slow-lookups.enabled
msx-conf getBoolean hadoop.security.groups.cache.background.reload
msx-conf getBoolean hadoop.security.token.service.use_ip
msx-conf getBoolean hbase.coprocessor.enabled
msx-conf getBoolean hbase.defaults.for.version.skip
msx-conf getBoolean hbase.filesystem.reorder.blocks
msx-conf getBoolean hbase.localcluster.assign.random.ports
msx-conf getBoolean hbase.regionserver.hlog.enabled
msx-conf getBoolean hbase.regionserver.wal.enablecompression
msx-conf getBoolean hbase.separate.oldlogdir.by.regionserver
msx-conf getBoolean hbase.tests.use.shortcircuit.reads
msx-conf getBoolean hbase.wal.async.use-shared-event-loop
msx-conf getBoolean hbase.wal.hsync
msx-conf getBoolean ignore.secure.ports.for.testing
msx-conf getBoolean ipc.0.backoff.enable
msx-conf getBoolean ipc.client.fallback-to-simple-auth-allowed
msx-conf getBoolean ipc.client.low-latency
msx-conf getBoolean ipc.client.ping
msx-conf getBoolean ipc.client.tcpnodelay
msx-conf getBoolean ipc.server.log.slow.rpc
msx-conf getBoolean ipc.server.tcpnodelay
msx-conf getClassByName org.apache.hadoop.hbase.regionserver.wal.ProtobufLogReader
msx-conf getClassByName org.apache.hadoop.hdfs.server.blockmanagement.HostFileManager
msx-conf getClassByName org.apache.hadoop.http.lib.StaticUserWebFilter
msx-conf getClassByName org.apache.hadoop.ipc.ProtobufRpcEngine
msx-conf getClassByName org.apache.hadoop.net.NetworkTopology
msx-conf getClassByName org.apache.hadoop.net.StandardSocketFactory
msx-conf getClassByName org.apache.hadoop.net.StaticMapping
msx-conf getClassByName org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback
msx-conf getClassByNameOrNull org.apache.hadoop.hbase.regionserver.wal.ProtobufLogReader
msx-conf getClassByNameOrNull org.apache.hadoop.hdfs.server.blockmanagement.HostFileManager
msx-conf getClassByNameOrNull org.apache.hadoop.http.lib.StaticUserWebFilter
msx-conf getClassByNameOrNull org.apache.hadoop.ipc.ProtobufRpcEngine
msx-conf getClassByNameOrNull org.apache.hadoop.mapred.JobConf
msx-conf getClassByNameOrNull org.apache.hadoop.mapred.JobConfigurable
msx-conf getClassByNameOrNull org.apache.hadoop.net.NetworkTopology
msx-conf getClassByNameOrNull org.apache.hadoop.net.StandardSocketFactory
msx-conf getClassByNameOrNull org.apache.hadoop.net.StaticMapping
msx-conf getClassByNameOrNull org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback
msx-conf getClass dfs.block.replicator.classname
msx-conf getClass dfs.client.failover.proxy.provider.localhost
msx-conf getClass dfs.datanode.fsdataset.factory
msx-conf getClass dfs.datanode.fsdataset.volume.choosing.policy
msx-conf getClass dfs.datanode.ram.disk.replica.tracker
msx-conf getClass dfs.namenode.hosts.provider.classname
msx-conf getClass dfs.namenode.inode.attributes.provider.class
msx-conf getClass dfs.trustedchannel.resolver.class
msx-conf getClasses dfs.datanode.plugins
msx-conf getClasses dfs.namenode.plugins
msx-conf getClasses hadoop.http.filter.initializers
msx-conf getClass fs.file.impl
msx-conf getClass fs.getspaceused.classname
msx-conf getClass fs.hdfs.impl
msx-conf getClass hadoop.security.group.mapping
msx-conf getClass hadoop.security.impersonation.provider.class
msx-conf getClass hadoop.security.saslproperties.resolver.class
msx-conf getClass hbase.fsutil.hdfs.impl
msx-conf getClass hbase.fs.wrapper
msx-conf getClass hbase.regionserver.hlog.async.writer.impl
msx-conf getClass hbase.regionserver.hlog.reader.impl
msx-conf getClass hbase.regionserver.wal.codec
msx-conf getClass ipc.0.callqueue.impl
msx-conf getClass ipc.0.scheduler.impl
msx-conf getClass net.topology.impl
msx-conf getClass net.topology.node.switch.mapping.impl
msx-conf getClass rpc.engine.org.apache.hadoop.hdfs.protocolPB.ClientDatanodeProtocolPB
msx-conf getClass rpc.engine.org.apache.hadoop.hdfs.protocolPB.ClientNamenodeProtocolPB
msx-conf getClass rpc.engine.org.apache.hadoop.hdfs.protocolPB.DatanodeProtocolPB
msx-conf get datanode.htrace.sampler.classes
msx-conf get datanode.htrace.span.receiver.classes
msx-conf get datanode.htrace.tracer.id
msx-conf get dfs.balancer.getBlocks.min-block-size
msx-conf get dfs.block.access.token.enable
msx-conf get dfs.block.invalidate.limit
msx-conf get dfs.block.local-path-access.user
msx-conf get dfs.block.misreplication.processing.limit
msx-conf get dfs.block.replicator.classname
msx-conf get dfs.blockreport.incremental.intervalMsec
msx-conf get dfs.blockreport.initialDelay
msx-conf get dfs.blockreport.intervalMsec
msx-conf get dfs.blockreport.split.threshold
msx-conf get dfs.block.scanner.volume.bytes.per.second
msx-conf get dfs.blocksize
msx-conf get dfs.bytes-per-checksum
msx-conf get dfs.cachereport.intervalMsec
msx-conf get dfs.checksum.type
msx-conf get dfs.client.block.write.locateFollowingBlock.initial.delay.ms
msx-conf get dfs.client.block.write.locateFollowingBlock.retries
msx-conf get dfs.client.block.write.replace-datanode-on-failure.best-effort
msx-conf get dfs.client.block.write.replace-datanode-on-failure.enable
msx-conf get dfs.client.block.write.replace-datanode-on-failure.min-replication
msx-conf get dfs.client.block.write.replace-datanode-on-failure.policy
msx-conf get dfs.client.block.write.retries
msx-conf get dfs.client.cached.conn.retry
msx-conf get dfs.client.cache.drop.behind.reads
msx-conf get dfs.client.cache.drop.behind.writes
msx-conf get dfs.client.cache.readahead
msx-conf get dfs.client.context
msx-conf get dfs.client.datanode-restart.timeout
msx-conf get dfs.client.domain.socket.data.traffic
msx-conf get dfs.client.failover.max.attempts
msx-conf get dfs.client.failover.proxy.provider.localhost
msx-conf get dfs.client.failover.sleep.base.millis
msx-conf get dfs.client.failover.sleep.max.millis
msx-conf get dfs.client.file-block-storage-locations.num-threads
msx-conf get dfs.client.file-block-storage-locations.timeout.millis
msx-conf get dfs.client.hedged.read.threadpool.size
msx-conf get dfs.client.hedged.read.threshold.millis
msx-conf get dfs.client.key.provider.cache.expiry
msx-conf get dfs.client.local.interfaces
msx-conf get dfs.client.max.block.acquire.failures
msx-conf get dfs.client.mmap.cache.size
msx-conf get dfs.client.mmap.cache.timeout.ms
msx-conf get dfs.client.mmap.enabled
msx-conf get dfs.client.mmap.retry.timeout.ms
msx-conf get dfs.client.read.prefetch.size
msx-conf get dfs.client.read.shortcircuit
msx-conf get dfs.client.read.shortcircuit.buffer.size
msx-conf get dfs.client.read.short.circuit.replica.stale.threshold.ms
msx-conf get dfs.client.read.shortcircuit.skip.checksum
msx-conf get dfs.client.read.shortcircuit.streams.cache.expiry.ms
msx-conf get dfs.client.read.shortcircuit.streams.cache.size
msx-conf get dfs.client.replica.accessor.builder.classes
msx-conf get dfs.client.retry.interval-ms.get-last-block-length
msx-conf get dfs.client.retry.max.attempts
msx-conf get dfs.client.retry.policy.enabled
msx-conf get dfs.client.retry.times.get-last-block-length
msx-conf get dfs.client.retry.window.base
msx-conf get dfs.client.server-defaults.validity.period.ms
msx-conf get dfs.client.slow.io.warning.threshold.ms
msx-conf get dfs.client.socketcache.capacity
msx-conf get dfs.client.socketcache.expiryMsec
msx-conf get dfs.client.socket.send.buffer.size
msx-conf get dfs.client.socket-timeout
msx-conf get dfs.client.test.drop.namenode.response.number
msx-conf get dfs.client.use.datanode.hostname
msx-conf get dfs.client.use.legacy.blockreader
msx-conf get dfs.client.use.legacy.blockreader.local
msx-conf get dfs.client.write.byte-array-manager.enabled
msx-conf get dfs.client.write.exclude.nodes.cache.expiry.interval.millis
msx-conf get dfs.client.write.max-packets-in-flight
msx-conf get dfs.client-write-packet-size
msx-conf get dfs.cluster.administrators
msx-conf get dfs.content-summary.limit
msx-conf get dfs.content-summary.sleep-microsec
msx-conf get dfs.corruptfilesreturned.max
msx-conf get dfs.datanode.address
msx-conf get dfs.datanode.balance.bandwidthPerSec
msx-conf get dfs.datanode.balance.max.concurrent.moves
msx-conf get dfs.datanode.block-pinning.enabled
msx-conf get dfs.datanode.bp-ready.timeout
msx-conf get dfs.datanode.cache.revocation.polling.ms
msx-conf get dfs.datanode.cache.revocation.timeout.ms
msx-conf get dfs.datanode.data.dir
msx-conf get dfs.datanode.data.dir.perm
msx-conf get dfs.datanode.directoryscan.interval
msx-conf get dfs.datanode.directoryscan.threads
msx-conf get dfs.datanode.directoryscan.throttle.limit.ms.per.sec
msx-conf get dfs.datanode.drop.cache.behind.reads
msx-conf get dfs.datanode.drop.cache.behind.writes
msx-conf get dfs.datanode.duplicate.replica.deletion
msx-conf get dfs.datanode.du.reserved
msx-conf get dfs.datanode.du.reserved.disk
msx-conf get dfs.datanode.failed.volumes.tolerated
msx-conf get dfs.datanode.fsdatasetcache.max.threads.per.volume
msx-conf get dfs.datanode.fsdataset.factory
msx-conf get dfs.datanode.fsdataset.volume.choosing.policy
msx-conf get dfs.datanode.handler.count
